ZEIT_LANG,ZEIT_CODE,RAUM_LANG,RAUM_CODE,BEW,Datenstatus,KREISEZH_LANG,KREISEZH_CODE,StichtagDatJahr,StichtagDatJahr_str,Jahr,RAUM_my_sort
2017-12-31,Z31122017,Alt-Wiedikon,R00031,17522.0,Definitiv,Kreis 3 (ab 1915),R00600,2017-12-31,2017-12-31,2017,31
2017-12-31,Z31122017,Sihlfeld,R00034,21660.0,Definitiv,Kreis 3 (ab 1915),R00600,2017-12-31,2017-12-31,2017,34
2016-12-31,Z31122016,Saatlen,R00121,8283.0,Definitiv,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2016-12-31,2016-12-31,2016,121
2016-12-31,Z31122016,Werd,R00041,4594.0,Definitiv,Kreis 4 (ab 1915),R00700,2016-12-31,2016-12-31,2016,41
2016-12-31,Z31122016,Witikon,R00074,10667.0,Definitiv,Kreis 7 (ab 1934),R01300,2016-12-31,2016-12-31,2016,74
2016-12-31,Z31122016,Langstrasse,R00042,11145.0,Definitiv,Kreis 4 (ab 1915),R00700,2016-12-31,2016-12-31,2016,42
2016-12-31,Z31122016,Hard,R00044,12891.0,Definitiv,Kreis 4 (ab 1915),R00700,2016-12-31,2016-12-31,2016,44
2016-12-31,Z31122016,Unterstrass,R00061,22476.0,Definitiv,Kreis 6 (ab 1934),R01200,2016-12-31,2016-12-31,2016,61
2016-12-31,Z31122016,Wollishofen,R00021,16567.0,Definitiv,Kreis 2 (ab 1893),R00200,2016-12-31,2016-12-31,2016,21
2016-12-31,Z31122016,Gewerbeschule,R00051,9598.0,Definitiv,Kreis 5 (ab 1915),R00800,2016-12-31,2016-12-31,2016,51
2016-12-31,Z31122016,Wipkingen,R00102,16141.0,Definitiv,Kreis 10 (ab 1934),R01500,2016-12-31,2016-12-31,2016,102
2016-12-31,Z31122016,Enge,R00024,9422.0,Definitiv,Kreis 2 (ab 1893),R00200,2016-12-31,2016-12-31,2016,24
2016-12-31,Z31122016,Friesenberg,R00033,11002.0,Definitiv,Kreis 3 (ab 1915),R00600,2016-12-31,2016-12-31,2016,33
2016-12-31,Z31122016,Lindenhof,R00013,972.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2016-12-31,2016-12-31,2016,13
2016-12-31,Z31122016,Hirslanden,R00073,7321.0,Definitiv,Kreis 7 (ab 1934),R01300,2016-12-31,2016-12-31,2016,73
2016-12-31,Z31122016,Leimbach,R00023,6173.0,Definitiv,Kreis 2 (ab 1893),R00200,2016-12-31,2016-12-31,2016,23
2016-12-31,Z31122016,Oberstrass,R00063,10794.0,Definitiv,Kreis 6 (ab 1934),R01200,2016-12-31,2016-12-31,2016,63
2016-12-31,Z31122016,Seefeld,R00081,5046.0,Definitiv,Kreis 8 (ab 1915),R01100,2016-12-31,2016-12-31,2016,81
2016-12-31,Z31122016,Schwamendingen-Mitte,R00122,11076.0,Definitiv,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2016-12-31,2016-12-31,2016,122
2016-12-31,Z31122016,Höngg,R00101,23423.0,Definitiv,Kreis 10 (ab 1934),R01500,2016-12-31,2016-12-31,2016,101
2016-12-31,Z31122016,Sihlfeld,R00034,21177.0,Definitiv,Kreis 3 (ab 1915),R00600,2016-12-31,2016-12-31,2016,34
2016-12-31,Z31122016,Fluntern,R00071,8038.0,Definitiv,Kreis 7 (ab 1934),R01300,2016-12-31,2016-12-31,2016,71
2016-12-31,Z31122016,Rathaus,R00011,3226.0,Definitiv,Kreis 1 (Stadtgebiet vor 1893),R10000,2016-12-31,2016-12-31,2016,11
2016-12-31,Z31122016,Altstetten,R00092,31724.0,Definitiv,Kreis 9 (ab 1934),R01400,2016-12-31,2016-12-31,2016,92
2016-12-31,Z31122016,Alt-Wiedikon,R00031,17321.0,Definitiv,Kreis 3 (ab 1915),R00600,2016-12-31,2016-12-31,2016,31
2016-12-31,Z31122016,Affoltern,R00111,26054.0,Definitiv,Kreis 11 (ab 1970),R01800,2016-12-31,2016-12-31,2016,111
2016-12-31,Z31122016,Hirzenbach,R00123,12463.0,Definitiv,altes Quartier Schwamendingen (1934-1969); Kreis 12 (ab 1970),R01700,2016-12-31,2016-12-31,2016,123
2016-12-31,Z31122016,Hottingen,R00072,11113.0,Definitiv,Kreis 7 (ab 1934),R01300,2016-12-31,2016-12-31,2016,72
